year;country;house;party_long;party_short;seats;government;colour;x;y;row;theta;NOMBRE;SEXO;FUENTE;TWITTER;COMENTARIO;MANDATO;PROVINCIA
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.861747497;0.730682049;8;2.767593528;FACUNDO SUAREZ LASTRA;M;Voto 2018;;;2017 a 2021;CABA
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.451810694;0.601359679;5;2.748893572;BRENDA LIS AUSTIN;F;Voto 2018;;;2017 a 2021;Córdoba
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.055862323;0.437352494;2;2.748893572;PABLO CARRO;M;Voto 2018;;;2017 a 2021;Córdoba
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.700721892;0.746005789;7;2.728225199;SOFIA BRAMBILLA;F;Voto 2018;;;2017 a 2021;Corrientes
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.305064939;0.581052347;4;2.722713633;JUAN JOSE BAHILLO;M;Voto 2018;;;2017 a 2021;Entre Ríos
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.553670492;0.724488449;6;2.705260341;ATILIO FRANCISCO SALVADOR BENEDETTI;M;Voto 2018;;;2017 a 2021;Entre Ríos
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.801937736;0.867767478;8;2.692793703;JORGE ENRIQUE LACOSTE;M;Voto 2018;;;2017 a 2021;Entre Ríos
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.148956252;0.577027517;3;2.67617152;MELINA AIDA DELU;F;Voto 2018;;;2017 a 2021;La Pampa
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-0.891006524;0.4539905;1;2.670353756;ARIEL RAUSCHENBERGER;M;Voto 2018;;;2017 a 2021;La Pampa
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.385876273;0.740766301;5;2.650718801;CLAUDIA NAJUL;F;Voto 2018;;;2017 a 2021;Mendoza
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.633308395;0.883902301;7;2.645551708;NORMAN DARIO MARTINEZ;M;Voto 2018;;;2017 a 2021;Neuquén
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.732050808;1;8;2.617993878;LORENA MATZEN;F;Voto 2018;;;2017 a 2021;Río Negro
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.484614978;0.857142857;6;2.617993878;MARIA EMILIA SORIA;F;Voto 2018;;;2017 a 2021;Río Negro
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.237179148;0.714285714;4;2.617993878;JOSE LUIS RICCARDO;M;Voto 2018;;;2017 a 2021;San Luis
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-0.989743319;0.571428571;2;2.617993878;ROXANA NAHIR REYES;F;Voto 2018;;;2017 a 2021;Santa Cruz
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.554737745;1.015760865;7;2.562878217;JUAN BENEDICTO VAZQUEZ;M;Voto 2018;;;2017 a 2021;Santa Cruz
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.074198615;0.706511543;3;2.559816236;ALBOR ANGEL CANTARD;M;Voto 2018;;;2017 a 2021;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.306595105;0.873038938;5;2.552544031;GONZALO PEDRO ANTONIO DEL CERRO;M;Voto 2018;;;2017 a 2021;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.652477549;1.126640116;8;2.543194053;JOSEFINA VICTORIA GONZALEZ;F;Voto 2018;;;2017 a 2021;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.404260647;0.983273891;6;2.530727415;ALEJANDRA RODENAS;F;Voto 2018;;;2017 a 2021;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.155738563;0.839693218;4;2.513274123;AGUSTIN OSCAR ROSSI;M;Voto 2018;;;2017 a 2021;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-0.809016994;0.587785252;1;2.513274123;MARTIN ALEJANDRO PEREZ;M;Voto 2018;;;2017 a 2021;Tierra del Fuego
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-0.906689532;0.695727347;2;2.487094184;HECTOR ANTONIO STEFANI;M;Voto 2018;;;2017 a 2021;Tierra del Fuego
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.46554666;1.140680752;7;2.480204727;PABLO RAUL YEDLIN;M;Voto 2018;;;2017 a 2021;Tucumán
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.563662965;1.246979604;8;2.468394228;SERGIO MASSA *;M;https://www.infobae.com/politica/2019/04/29/sergio-massa-estoy-en-la-etapa-marie-kondo-de-mi-carrera-politica/;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.214730712;0.996903732;5;2.454369261;LUANA VOLNOVICH;F;https://twitter.com/luanavolnovich/status/1007034366848008193 ;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.313219045;1.101921617;6;2.443460953;LEONARDO GROSSO;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.984914284;0.826441212;3;2.443460953;MARIA CRISTINA ALVAREZ RODRIGUEZ;F;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.061635465;0.955900866;4;2.408554368;MAXIMO CARLOS KIRCHNER;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.366344406;1.257808633;7;2.397531236;CECILIA MOREAU;F;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.466103744;1.360345476;8;2.393594403;ANDRES LARROQUE;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.212183053;1.212183053;6;2.35619449;FLORENCIA LAMPREABE;F;https://twitter.com/FlorLampreabe/status/983816897199210496;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.111167799;1.111167799;5;2.35619449;WADO DE PEDRO;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.808122036;0.808122036;2;2.35619449;JUAN FACUNDO MOYANO;M;Voto 2018;;;2019 a 2023;Buenos Aires
