PROVINCIA;FRENTE;NOMBRE;POSTURA;PREGUNTALE
Chubut;TODOS;ESTELA BEATRIZ HERNANDEZ;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40DipEstelaH!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Chubut;JxC;"IGNACIO ""NACHO"" TORRES";No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40NachoTorresCH!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Entre Ríos;TODOS;MARCELO PABLO CASARETTO;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40mpcasaretto!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Entre Ríos;TODOS;BLANCA INES OSUNA;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40BlancaOsunaOK!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Entre Ríos;JxC;GUSTAVO RENE HEIN;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40gustavohein_!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Formosa;TODOS;MARIA GRACIELA PAROLA;No se expresó;No disponible
Formosa;JxC;RICARDO BURYAILE;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40BuryaileRicardo!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Jujuy;TODOS;CARLOS DANIEL CANTERO;No se expresó;No disponible
Jujuy;JxC;"JORGE ""COLO"" RIZZOTTI";No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40RizzottiColo!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
La Pampa;JxC;MARTIN ANTONIO BERHONGARAY;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40MBerhongaray!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
La Rioja;TODOS;SERGIO CASAS;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40SergioGCasas!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
La Rioja;TODOS;HILDA AGUIRRE DE SORIA;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40BebaAguirre2!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
La Rioja;JxC;FELIPE ÁLVAREZ;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40felipealvarezlr?lang=es!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
